airport,date,pax_actual,pax_pred,lower,upper,in_interval
PT_LPPT,2025-08-01,3493203,3288799.4896264416,3148556.4181483365,3429042.5611045468,False
PT_LPPT,2025-09-01,3313968,3165241.18667848,3024998.1152003747,3305484.258156585,False
PT_LPPT,2025-10-01,3285448,3108379.733649807,2968136.662171702,3248622.805127912,False
PT_LPPT,2025-11-01,2707699,2698929.316383575,2558686.24490547,2839172.3878616802,True
PT_LPPT,2025-12-01,2666683,2612314.3850172544,2472071.3135391492,2752557.4564953595,True
RS_LYBE,2025-01-01,563693,566975.037382463,426731.96590435784,707218.1088605681,True
RS_LYBE,2025-02-01,496703,527718.9309163665,387475.85943826137,667962.0023944717,True
RS_LYBE,2025-03-01,556363,612434.8719174535,472191.8004393483,752677.9433955586,True
RS_LYBE,2025-04-01,682266,687965.8217757709,547722.7502976657,828208.893253876,True
RS_LYBE,2025-05-01,751591,762663.962433758,622420.8909556528,902907.0339118631,True
RS_LYBE,2025-06-01,868030,811215.9951033496,670972.9236252444,951459.0665814547,True
RS_LYBE,2025-07-01,974091,918974.2505526429,778731.1790745377,1059217.322030748,True
RS_LYBE,2025-08-01,1003934,924955.9804982445,784712.9090201394,1065199.0519763497,True
RS_LYBE,2025-09-01,904927,872372.412408553,732129.3409304478,1012615.4838866581,True
RS_LYBE,2025-10-01,812129,787647.9607656837,647404.8892875785,927891.0322437888,True
RS_LYBE,2025-11-01,651269,632173.5628994089,491930.4914213037,772416.634377514,True
RS_LYBE,2025-12-01,648526,636118.3099422761,495875.23846417095,776361.3814203813,True
